time,lat,lon,alt,prev_lat,prev_lon,prev_alt,z0,z1,z2,r0,r1,r2,offset_r,offset_f,offset_u,dEast,dNorth,dUp,multipathMultiplier,along_track_stretch,temp,last_odo,last_odo_valid,wz_avg,hacc,decay_factor,speed,yaw,yaw_avg,filtered_speed_diff,stretch_max,maxScalar
157.650754,37.398980300,-121.979510100,-21.224000931,37.398978080,-121.979509839,-21.206781,-0.245240,-0.029022,0.008853,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,0.008854,1.653673,0.015999,1.000000,1.000000,0.900000,0.000000,0,0.878716,0.373000,0.050000,6.620000,0.020219,-87.750343,-0.007635,0.000000,1.000000
157.900751,37.398995800,-121.979509900,-21.204000473,37.398993282,-121.979509533,-21.183466,-0.277428,-0.042610,0.011005,0.810000,0.810000,0.411586,0.000000,0.000000,0.000000,0.017709,1.720264,0.020000,1.000000,1.000000,0.900000,0.000000,0,0.985026,0.373000,0.050000,6.864000,0.024177,-87.043903,-0.007218,0.000000,1.000000
158.160746,37.399011800,-121.979509500,-21.187999725,37.399009631,-121.979509117,-21.158694,-0.238024,-0.045584,0.020926,0.810000,0.810000,0.411586,0.000000,0.000000,0.000000,0.035418,1.775756,0.016001,1.000000,1.000000,0.900000,0.000000,0,0.779764,0.372000,0.050000,7.123000,0.027878,-86.324719,-0.007407,0.000000,1.000000
158.400744,37.399028300,-121.979509200,-21.179000854,37.399025191,-121.979508652,-21.142080,-0.340265,-0.069912,0.025158,0.810000,0.810000,0.411586,0.000000,0.000000,0.000000,0.026563,1.831249,0.008999,1.000000,1.000000,0.900000,0.000000,0,0.736012,0.372000,0.050000,7.322000,0.026798,-85.592727,-0.007220,0.000000,1.000000
158.650756,37.399045300,-121.979508800,-21.146999359,37.399042064,-121.979508211,-21.126466,-0.353008,-0.079176,0.008424,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,0.035418,1.886741,0.032001,1.000000,1.000000,0.900000,0.000000,0,0.290936,0.372000,0.050000,7.536000,0.024765,-84.847882,-0.006895,0.000000,1.000000
158.900753,37.399062700,-121.979508500,-21.128000259,37.399059374,-121.979507811,-21.107470,-0.360860,-0.093734,0.008548,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,0.026563,1.931135,0.018999,1.000000,1.000000,0.900000,0.000000,0,1.209188,0.372000,0.050000,7.737000,0.020630,-84.090250,-0.006976,0.000000,1.000000
159.160748,37.399080600,-121.979508300,-21.108999252,37.399077802,-121.979507484,-21.086845,-0.300049,-0.103908,0.012424,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,0.017709,1.986627,0.019001,1.000000,1.000000,0.900000,0.000000,0,0.741394,0.372000,0.050000,7.940000,0.016694,-83.319852,-0.006746,0.000000,1.000000
159.410745,37.399099000,-121.979508200,-21.108999252,37.399095809,-121.979507253,-21.069538,-0.340254,-0.124743,0.028847,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,0.008854,2.042120,0.000000,1.000000,1.000000,0.900000,0.000000,0,0.377152,0.372000,0.050000,8.147000,0.013521,-82.536696,-0.006274,0.000000,1.000000
159.660742,37.399117700,-121.979508200,-21.090999603,37.399114205,-121.979507071,-21.056363,-0.369471,-0.149962,0.023537,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,0.000000,2.075415,0.018000,1.000000,1.000000,0.900000,0.000000,0,0.005220,0.372000,0.050000,8.318000,0.012925,-81.740644,-0.006442,0.000000,1.000000
159.910738,37.399136600,-121.979508100,-21.090000153,37.399132972,-121.979506902,-21.048251,-0.380911,-0.163419,0.030720,0.810000,0.810000,0.360000,0.000000,0.000000,0.000000,0.008854,2.097612,0.000999,1.000000,1.000000,0.900000,0.000000,0,0.181186,0.371000,0.050000,8.410000,0.013067,-80.931642,-0.006659,0.000000,1.000000
